wkt_geom,fid,FIELD_ID,SINGLE_NUM,OID_T,SHAPE_AREA,SHAPE_LEN,xcoord,ycoord
Point (142263.4859473418619018 672920.73721748299431056),2699,BN41,41,3113,0,0,142263.4859,672920.7372
Point (142234.25058487089700066 668815.40988880058284849),1410,KL34,34,1359,0,0,142234.2506,668815.4099
Point (142218.0471706693933811 669375.44597244390752167),706,BN5,5,719,0,0,142218.0472,669375.446
Point (142194.5290865681017749 669155.4094905755482614),702,BN4,4,715,0,0,142194.5291,669155.4095
Point (142194.39010407769819722 667554.269164361176081),2223,LT2,2,1496,0,0,142194.3901,667554.2692
Point (142142.54352110976469703 669017.66377316892612725),740,BN3,3,707,0,0,142142.5435,669017.6638
Point (142138.32505155098624527 668576.21423633466474712),1471,KL21,21,1345,0,0,142138.3251,668576.2142
Point (142130.82558718678774312 667629.5504973049974069),2184,LT1,1,1485,0,0,142130.8256,667629.5505
Point (142124.23158212675480172 669967.61832904350012541),744,BN35,35,711,0,0,142124.2316,669967.6183
Point (142094.74424434843240306 646404.16676695237401873),190,AB7,7,169,0,0,142094.7442,646404.1668
Point (142088.11838050335063599 670161.56495840928982943),745,BN36,36,712,0,0,142088.1184,670161.565
Point (142087.13218333752593026 668053.88354058493860066),1111,KL31,31,1356,0,0,142087.1322,668053.8835
Point (142068.36522126707131974 667349.26085126132238656),2211,LT4,4,1512,0,0,142068.3652,667349.2609
Point (142024.02176858315942809 666981.43538915738463402),2287,LT14,14,1490,0,0,142024.0218,666981.4354
Point (142022.59268719475949183 669141.71411079226527363),730,BN2,2,697,0,0,142022.5927,669141.7141
Point (142014.91862120328005403 666871.10142310662195086),2288,LT15,15,1491,0,0,142014.9186,666871.1014
Point (142013.59003899703384377 668319.93920397909823805),1149,KL23,23,1347,0,0,142013.59,668319.9392
Point (142005.76063561686896719 668714.77658849058207124),1426,KL1,1,1332,0,0,142005.7606,668714.7766
Point (141994.46557270619086921 665530.34501600079238415),2117,LT32,32,1510,0,0,141994.4656,665530.345
Point (141976.15526451604091562 647303.69905084476340562),160,AB37,37,161,0,0,141976.1553,647303.6991
